Stock,Date,Close,PE_Ratio,Monthly_Return,ROE
STOCK_19,2024-10-31,201.77,23.14,-0.0634,0.1248
STOCK_19,2024-11-30,203.49,25.19,0.0085,0.1225
STOCK_19,2024-12-31,207.9,24.71,0.0217,0.126
STOCK_20,2024-01-31,37.3,12.23,0.0651,0.2178
STOCK_20,2024-02-29,33.32,11.6,-0.1066,0.2309
STOCK_20,2024-03-31,37.08,11.84,0.1129,0.2221
STOCK_20,2024-04-30,35.28,11.55,-0.0486,0.2226
STOCK_20,2024-05-31,33.31,12.72,-0.0559,0.2367
STOCK_20,2024-06-30,35.74,11.01,0.0732,0.2304
STOCK_20,2024-07-31,37.29,11.8,0.0434,0.2331
STOCK_20,2024-08-31,38.9,11.97,0.0431,0.2289
STOCK_20,2024-09-30,39.89,10.51,0.0254,0.2252
STOCK_20,2024-10-31,38.76,10.8,-0.0284,0.236
STOCK_20,2024-11-30,42.98,12.32,0.1087,0.2264
STOCK_20,2024-12-31,46.67,11.55,0.086,0.226
STOCK_21,2024-01-31,326.88,13.5,-0.0732,0.187
STOCK_21,2024-02-29,363.77,14.14,0.1129,0.1875
STOCK_21,2024-03-31,371.02,13.56,0.0199,0.1863
STOCK_21,2024-04-30,348.78,13.43,-0.0599,0.1832
STOCK_21,2024-05-31,324.36,13.88,-0.07,0.1896
STOCK_21,2024-06-30,291.21,13.45,-0.1022,0.193
STOCK_21,2024-07-31,311.17,14.23,0.0686,0.1876
STOCK_21,2024-08-31,296.95,12.8,-0.0457,0.1893
STOCK_21,2024-09-30,305.19,14.41,0.0278,0.1936
STOCK_21,2024-10-31,304.3,12.69,-0.0029,0.1856
STOCK_21,2024-11-30,309.79,13.4,0.018,0.1842
STOCK_21,2024-12-31,316.04,13.19,0.0202,0.1839
STOCK_22,2024-01-31,456.6,19.46,0.0214,0.2417
STOCK_22,2024-02-29,498.27,19.44,0.0913,0.2297
STOCK_22,2024-03-31,445.1,20.67,-0.1067,0.2455
STOCK_22,2024-04-30,444.18,21.89,-0.0021,0.2256
STOCK_22,2024-05-31,456.96,22.25,0.0288,0.237
STOCK_22,2024-06-30,448.83,19.86,-0.0178,0.2387
STOCK_22,2024-07-31,442.29,22.11,-0.0146,0.2588
STOCK_22,2024-08-31,435.58,22.61,-0.0152,0.2455
STOCK_22,2024-09-30,483.59,20.54,0.1102,0.2462
STOCK_22,2024-10-31,496.62,23.92,0.0269,0.2515
STOCK_22,2024-11-30,478.02,21.64,-0.0374,0.2426
STOCK_22,2024-12-31,466.37,21.58,-0.0244,0.2455
STOCK_23,2024-01-31,215.55,11.01,0.0305,0.0752
STOCK_23,2024-02-29,203.93,11.32,-0.0539,0.0736
STOCK_23,2024-03-31,205.98,11.77,0.01,0.0756
STOCK_23,2024-04-30,190.42,11.95,-0.0755,0.0725
STOCK_23,2024-05-31,190.84,12.37,0.0022,0.0715
STOCK_23,2024-06-30,200.08,12.23,0.0485,0.0696
STOCK_23,2024-07-31,177.57,12.19,-0.1125,0.0733
STOCK_23,2024-08-31,177.36,12.18,-0.0012,0.0742
STOCK_23,2024-09-30,188.33,11.52,0.0619,0.0712
STOCK_23,2024-10-31,176.92,12.37,-0.0606,0.0765
STOCK_23,2024-11-30,173.22,10.67,-0.0209,0.07
STOCK_23,2024-12-31,165.43,11.86,-0.045,0.0728
STOCK_24,2024-01-31,136.53,12.56,-0.0356,0.3055
STOCK_24,2024-02-29,124.63,13.39,-0.0871,0.3021
STOCK_24,2024-03-31,124.15,14.17,-0.0038,0.2955
STOCK_24,2024-04-30,140.12,12.98,0.1286,0.2896
STOCK_24,2024-05-31,141.41,12.42,0.0092,0.2943
STOCK_24,2024-06-30,145.48,13.49,0.0288,0.2955
STOCK_24,2024-07-31,154.83,13.89,0.0642,0.3141
STOCK_24,2024-08-31,160.52,14.03,0.0368,0.2841
STOCK_24,2024-09-30,158.26,12.56,-0.0141,0.3022
STOCK_24,2024-10-31,153.63,13.02,-0.0293,0.3181
STOCK_24,2024-11-30,152.83,13.4,-0.0052,0.299
STOCK_24,2024-12-31,154.29,13.13,0.0095,0.3052
STOCK_25,2024-01-31,261.52,36.29,0.0404,0.0738
STOCK_25,2024-02-29,277.59,40.17,0.0614,0.0745
STOCK_25,2024-03-31,293.74,39.45,0.0582,0.0766
STOCK_25,2024-04-30,300.3,37.82,0.0224,0.0747
STOCK_25,2024-05-31,249.0,39.24,-0.1708,0.0659
STOCK_25,2024-06-30,224.5,39.37,-0.0984,0.075
STOCK_25,2024-07-31,209.96,37.13,-0.0647,0.077
STOCK_25,2024-08-31,204.92,42.82,-0.024,0.074
STOCK_25,2024-09-30,210.96,41.62,0.0295,0.0743
STOCK_25,2024-10-31,199.32,38.29,-0.0551,0.0739
STOCK_25,2024-11-30,184.0,38.01,-0.0769,0.0723
STOCK_25,2024-12-31,195.12,38.57,0.0605,0.0734
STOCK_26,2024-01-31,305.71,19.5,-0.055,0.335
STOCK_26,2024-02-29,299.67,19.12,-0.0197,0.3285
STOCK_26,2024-03-31,309.5,19.0,0.0328,0.3264
STOCK_26,2024-04-30,324.71,20.96,0.0491,0.3304
STOCK_26,2024-05-31,298.98,20.91,-0.0793,0.3213
STOCK_26,2024-06-30,291.81,21.47,-0.024,0.3386
STOCK_26,2024-07-31,324.69,21.93,0.1127,0.3231
STOCK_26,2024-08-31,333.18,21.36,0.0262,0.3254
STOCK_26,2024-09-30,337.46,21.42,0.0128,0.3236
STOCK_26,2024-10-31,324.38,20.15,-0.0388,0.3304
STOCK_26,2024-11-30,326.06,20.92,0.0052,0.3307
STOCK_26,2024-12-31,320.36,21.35,-0.0175,0.3279
STOCK_27,2024-01-31,160.07,13.58,-0.0943,0.2683
STOCK_27,2024-02-29,161.38,14.13,0.0081,0.274
STOCK_27,2024-03-31,168.18,14.57,0.0422,0.2794
STOCK_27,2024-04-30,173.16,14.77,0.0296,0.2593
STOCK_27,2024-05-31,170.24,12.77,-0.0169,0.2771
STOCK_27,2024-06-30,171.04,15.08,0.0047,0.2867
STOCK_27,2024-07-31,173.98,13.97,0.0172,0.2808
STOCK_27,2024-08-31,169.34,14.33,-0.0267,0.285
STOCK_27,2024-09-30,164.52,14.91,-0.0285,0.2824
STOCK_27,2024-10-31,155.92,15.03,-0.0523,0.2826
STOCK_27,2024-11-30,157.65,13.78,0.0111,0.2697
STOCK_27,2024-12-31,153.35,14.72,-0.0273,0.2689
STOCK_28,2024-01-31,495.21,35.73,0.0116,0.2611
STOCK_28,2024-02-29,541.42,32.08,0.0933,0.2757
STOCK_28,2024-03-31,547.97,32.55,0.0121,0.2711
STOCK_28,2024-04-30,598.52,31.11,0.0922,0.2816
STOCK_28,2024-05-31,578.37,31.74,-0.0337,0.2636
STOCK_28,2024-06-30,597.05,34.14,0.0323,0.2717
STOCK_28,2024-07-31,592.98,30.07,-0.0068,0.2705
STOCK_28,2024-08-31,539.28,30.39,-0.0906,0.2742
STOCK_28,2024-09-30,584.65,36.31,0.0841,0.2675
STOCK_28,2024-10-31,637.93,32.23,0.0911,0.2711
STOCK_28,2024-11-30,657.67,31.94,0.031,0.2732
STOCK_28,2024-12-31,644.85,29.61,-0.0195,0.2597
STOCK_29,2024-01-31,105.23,22.41,0.0055,0.2033
STOCK_29,2024-02-29,101.61,22.87,-0.0344,0.2118
STOCK_29,2024-03-31,105.13,22.6,0.0347,0.2098
STOCK_29,2024-04-30,112.79,22.21,0.0728,0.2059
STOCK_29,2024-05-31,116.87,20.37,0.0362,0.2065
STOCK_29,2024-06-30,107.95,20.7,-0.0763,0.2101
STOCK_29,2024-07-31,113.93,23.15,0.0554,0.2006
STOCK_29,2024-08-31,106.62,21.29,-0.0641,0.2028
STOCK_29,2024-09-30,107.66,22.77,0.0097,0.2
STOCK_29,2024-10-31,110.47,20.49,0.0261,0.205
STOCK_29,2024-11-30,111.05,20.74,0.0052,0.2008
STOCK_29,2024-12-31,110.37,21.26,-0.0061,0.213
STOCK_30,2024-01-31,95.74,12.53,-0.0487,0.2978
STOCK_30,2024-02-29,104.16,12.59,0.0879,0.3158
STOCK_30,2024-03-31,105.07,12.72,0.0087,0.3033
STOCK_30,2024-04-30,105.62,13.79,0.0052,0.2829
STOCK_30,2024-05-31,93.46,12.35,-0.1151,0.3042
STOCK_30,2024-06-30,97.8,13.0,0.0464,0.3006
STOCK_30,2024-07-31,104.27,13.35,0.0661,0.3057
STOCK_30,2024-08-31,110.81,12.87,0.0628,0.2989
STOCK_30,2024-09-30,116.0,12.77,0.0469,0.3041
STOCK_30,2024-10-31,126.84,11.14,0.0934,0.2911
STOCK_30,2024-11-30,118.44,12.47,-0.0662,0.3017
STOCK_30,2024-12-31,108.32,12.07,-0.0854,0.2962
STOCK_31,2024-01-31,410.68,28.97,-0.0168,0.0271
STOCK_31,2024-02-29,409.85,29.2,-0.002,0.0287
STOCK_31,2024-03-31,372.55,29.57,-0.091,0.0289
STOCK_31,2024-04-30,382.6,31.38,0.027,0.0276
STOCK_31,2024-05-31,404.13,29.51,0.0563,0.0293
STOCK_31,2024-06-30,405.9,28.62,0.0044,0.0285
STOCK_31,2024-07-31,416.82,31.68,0.0269,0.0286
STOCK_31,2024-08-31,457.22,32.29,0.0969,0.0285
STOCK_31,2024-09-30,480.08,33.71,0.05,0.0305
STOCK_31,2024-10-31,447.11,29.31,-0.0687,0.0301
STOCK_31,2024-11-30,420.95,28.7,-0.0585,0.0284
STOCK_31,2024-12-31,433.67,30.58,0.0302,0.0282
STOCK_32,2024-01-31,198.45,19.84,0.1419,0.0393
STOCK_32,2024-02-29,193.62,19.36,-0.0243,0.0374
STOCK_32,2024-03-31,163.78,18.2,-0.1541,0.0362
STOCK_32,2024-04-30,142.49,18.38,-0.13,0.0398
STOCK_32,2024-05-31,142.83,20.81,0.0023,0.0387
STOCK_32,2024-06-30,150.25,18.66,0.052,0.0388
STOCK_32,2024-07-31,157.57,18.98,0.0487,0.0389
STOCK_32,2024-08-31,163.71,19.01,0.039,0.037
STOCK_32,2024-09-30,152.89,19.63,-0.066,0.0386
STOCK_32,2024-10-31,146.39,19.57,-0.0426,0.0389
STOCK_32,2024-11-30,152.55,21.06,0.0421,0.0397
STOCK_32,2024-12-31,144.15,21.19,-0.0551,0.0376
STOCK_33,2024-01-31,203.63,28.02,-0.1035,0.3106
STOCK_33,2024-02-29,216.47,30.4,0.063,0.318
STOCK_33,2024-03-31,221.47,27.24,0.0231,0.3197
STOCK_33,2024-04-30,232.87,28.21,0.0515,0.3428
STOCK_33,2024-05-31,227.3,29.67,-0.0239,0.3268
STOCK_33,2024-06-30,239.29,27.63,0.0527,0.3253
STOCK_33,2024-07-31,238.82,27.08,-0.0019,0.3323
STOCK_33,2024-08-31,249.34,29.1,0.044,0.3409
STOCK_33,2024-09-30,272.26,27.73,0.092,0.3295
STOCK_33,2024-10-31,263.44,28.29,-0.0324,0.32
STOCK_33,2024-11-30,290.36,28.77,0.1022,0.3237
STOCK_33,2024-12-31,312.61,25.19,0.0766,0.3061
STOCK_34,2024-01-31,225.4,8.17,-0.0746,0.2964
STOCK_34,2024-02-29,237.67,8.24,0.0545,0.2759
STOCK_34,2024-03-31,233.23,7.3,-0.0187,0.2818
STOCK_34,2024-04-30,246.23,7.53,0.0557,0.274
STOCK_34,2024-05-31,230.36,7.78,-0.0644,0.28
STOCK_34,2024-06-30,202.7,8.43,-0.1201,0.2859
STOCK_34,2024-07-31,200.66,7.16,-0.0101,0.2712
STOCK_34,2024-08-31,216.51,7.04,0.079,0.2767
STOCK_34,2024-09-30,202.26,8.5,-0.0658,0.2739
STOCK_34,2024-10-31,208.18,8.41,0.0292,0.295
STOCK_34,2024-11-30,206.68,8.33,-0.0072,0.2671
STOCK_34,2024-12-31,222.48,7.86,0.0764,0.2749
STOCK_35,2024-01-31,213.49,28.21,0.063,0.0316
STOCK_35,2024-02-29,212.98,28.83,-0.0024,0.0314
STOCK_35,2024-03-31,200.31,29.02,-0.0595,0.0335
STOCK_35,2024-04-30,206.26,30.38,0.0297,0.0337
STOCK_35,2024-05-31,215.43,31.57,0.0445,0.033
STOCK_35,2024-06-30,206.2,28.39,-0.0429,0.0337
STOCK_35,2024-07-31,200.71,26.36,-0.0266,0.0355
STOCK_35,2024-08-31,205.65,26.78,0.0246,0.0341
STOCK_35,2024-09-30,205.33,27.45,-0.0015,0.0338
STOCK_35,2024-10-31,190.44,28.29,-0.0725,0.0351
STOCK_35,2024-11-30,196.72,27.28,0.033,0.0327
STOCK_35,2024-12-31,192.86,27.45,-0.0196,0.0329
STOCK_36,2024-01-31,49.4,39.74,-0.0178,0.1184
STOCK_36,2024-02-29,53.59,41.43,0.0847,0.126
STOCK_36,2024-03-31,48.98,40.62,-0.0859,0.124
STOCK_36,2024-04-30,44.51,38.95,-0.0913,0.1239
STOCK_36,2024-05-31,46.22,39.35,0.0384,0.1236
STOCK_36,2024-06-30,50.54,41.39,0.0934,0.112
STOCK_36,2024-07-31,49.83,38.68,-0.014,0.1161
STOCK_36,2024-08-31,50.36,41.44,0.0107,0.1185
STOCK_36,2024-09-30,51.63,37.21,0.0252,0.12
STOCK_36,2024-10-31,56.46,37.94,0.0936,0.1242
STOCK_36,2024-11-30,50.4,42.63,-0.1073,0.1247
STOCK_36,2024-12-31,50.1,40.12,-0.0059,0.1173
